,ER_mu_critical,ER_avg_clustering_coef,ER_avg_shortest_path_len,ER_No_of_communities,ER_modularity,ER_Omega
0,0.261,0.06371405594903022,2.2185025935025937,4,0.11663080246287832,0.9118855997069643
1,0.259,0.06593408627248008,2.292620170753577,3,0.1431182446660514,0.8760128929323967
2,0.257,0.07344145804332519,2.193676659779346,4,0.12487538939304105,0.9087530999484942
3,0.25,0.06790855068820321,2.230377432414784,4,0.13568073153765553,0.9002587985629057
4,0.259,0.06100944947563985,2.2840714574709784,4,0.12782830933149117,0.8870158814187172
5,0.259,0.062463662241491275,2.254653361867317,4,0.12960715879880516,0.897606330847954
6,0.254,0.06585250989056227,2.201974701974702,4,0.11759315790796597,0.9162503680275204
7,0.263,0.06769024540198326,2.1961035384827206,4,0.12240497663551707,0.9162179383934371
8,0.26899999999999996,0.06527781273761729,2.217241379310345,4,0.12029582265231825,0.9101227240720299
9,0.26899999999999996,0.06658818724344011,2.1777042176064976,3,0.1148108744820949,0.9264593492249887
10,0.256,0.06986837936223864,2.1787942994804514,4,0.11254563560297301,0.9210466018985458
11,0.259,0.06303160221259357,2.2921804844115603,3,0.1338264251523616,0.8805351218337159
12,0.26899999999999996,0.06731946074491958,2.2691690662278896,5,0.13786707832973671,0.884014710880377
13,0.26,0.06761992463693009,2.187855201383741,4,0.11603434888686967,0.9201583403318457
14,0.26,0.0629099690585722,2.27980397980398,3,0.12850130583052788,0.8860081145268468
15,0.265,0.05674669033561574,2.295728490942964,4,0.1250419681665116,0.8884162390177156
16,0.259,0.06037787000820069,2.268442292171106,5,0.1277460583183704,0.8946984716196175
17,0.255,0.061695493411146815,2.2494444569145475,4,0.1268206524572048,0.9010482883114025
18,0.259,0.06750567966222597,2.2756521371496214,4,0.13473142611130298,0.8809316478684035
19,0.26,0.05882944195289143,2.2851451145877757,3,0.12586890108938742,0.8898124814304712
20,0.254,0.058261924542613544,2.2675024108003856,4,0.12748565921280627,0.898267192043816
21,0.262,0.062161019433176055,2.2502737271686657,4,0.13215173536551156,0.8999869406995438
22,0.262,0.06723360891309675,2.2371752048099576,4,0.1305371612596262,0.8982232382454826
23,0.24,0.062136855485986756,2.3047701449653912,4,0.13813611786037225,0.8765474213435559
24,0.26899999999999996,0.057517720158609065,2.2855673477020897,4,0.13053159002538342,0.8915911212024035
25,0.251,0.06832621236037661,2.2298549034849073,4,0.1283607516568625,0.8998696866819965
26,0.259,0.05880302015934005,2.2867938984467506,5,0.13238885024452263,0.889147034478381
27,0.261,0.06503896802497285,2.2378542510121457,4,0.1333686286052259,0.9011982422510767
28,0.262,0.06028081969126576,2.2548740006545422,5,0.12351901973216432,0.9007697781376797
29,0.263,0.06353904550426118,2.277856201769245,3,0.13418485131242652,0.8859064615427398
30,0.25,0.07364547503793607,2.220423412204234,3,0.13082376881905378,0.8961803466123202
31,0.252,0.07004546258552515,2.2583333333333333,3,0.13464489716826802,0.8846670719762927
32,0.259,0.06922796410350478,2.208915977626459,4,0.11658331950110853,0.9080203103088981
33,0.261,0.06584916432768147,2.227188940092166,4,0.12453742909994525,0.9047688471269375
34,0.26,0.06819809851584671,2.255672488431109,4,0.13750897504118129,0.8885933817085843
35,0.254,0.06393644597888293,2.2104829051137775,4,0.11525064637841949,0.915207037571606
36,0.265,0.06158948874498505,2.254768964665184,4,0.1293023112900639,0.8988612377576414
37,0.265,0.0625506676599719,2.245833646592988,5,0.12369280476139863,0.9013678042371998
38,0.26,0.06440385419111559,2.217062021250309,5,0.12465626532305063,0.9115096298258708
39,0.26899999999999996,0.0671058490027541,2.157887044576678,3,0.1193537417318933,0.9351077725157441
40,0.26899999999999996,0.06840767941583052,2.236943177531635,4,0.1283502235960547,0.8965731703151479
41,0.259,0.06776024610953278,2.228143239299611,4,0.1306347419431855,0.9014847243297917
42,0.261,0.06961759033866895,2.2386747674197838,4,0.13128941510442688,0.8939934621816348
43,0.26,0.06828487926077385,2.2086943707633364,4,0.12199979546190665,0.9095304308182497
44,0.261,0.060773392734383265,2.2623431940368284,4,0.1247189037648051,0.8967628622036363
45,0.26899999999999996,0.0685807354236904,2.208664592695011,4,0.12221850018113753,0.9091021624356014
46,0.252,0.07177816086892393,2.216327674567585,4,0.12900380309863338,0.9008288704074294
47,0.25,0.06674331645787174,2.311187214611872,3,0.13726925014271432,0.8669755241204291
48,0.25,0.058805948127692104,2.2682310990188803,4,0.1190149751233595,0.8971380774088329
49,0.261,0.06668989570474311,2.2032381817722926,4,0.11914842368319879,0.9144177611803899
50,0.26999999999999996,0.06880573669717344,2.203504947174241,4,0.12915392861306385,0.9111346685283707
51,0.252,0.07433752840916998,2.2006489675516225,4,0.1249466870820523,0.9041879343209138
52,0.265,0.07667600105575835,2.188785555695195,4,0.12156466191628769,0.9061976651068432
53,0.26899999999999996,0.06289498226669155,2.251111934766494,4,0.1212189718095543,0.898520971292398
54,0.252,0.060181007416628816,2.270754792652603,4,0.13302643256053104,0.8939895276942795
55,0.26,0.06905077975538916,2.2585467003245583,4,0.13564224364705318,0.8860593227565864
56,0.26,0.0669763511797596,2.2689020749365576,4,0.1310704277084373,0.8846430552670971
57,0.255,0.059472100958264856,2.2685355175822624,4,0.12182416519482886,0.8960109016522849
58,0.26899999999999996,0.06204858583144668,2.2321505608283,4,0.11311936337493189,0.9082158449858047
59,0.266,0.06793124054976155,2.2079280155642023,3,0.11667976982293077,0.9104097364430814
60,0.25,0.06685952621013219,2.2438725490196076,4,0.13022569293209293,0.8958013006283666
61,0.261,0.07026971141244444,2.1995522618496217,4,0.12758341435636222,0.9107700312110485
62,0.261,0.07123264378899324,2.201450200333298,4,0.11936413177240002,0.9084560543026365
63,0.26,0.06618831339497092,2.2640641904075007,3,0.13506233758301572,0.8879241928378072
64,0.263,0.06119222696476092,2.2734863176039646,4,0.12153153170761136,0.891297016785853
65,0.25,0.06836430020923485,2.1938822184105202,3,0.12615461375592352,0.9162411818921945
66,0.262,0.06641189925230799,2.1854145047849647,4,0.1177067563576761,0.9231031521803844
67,0.263,0.07018728897832475,2.2317510076130764,4,0.13363892103418767,0.8962386463963454
68,0.261,0.061081385069378755,2.282777698964392,4,0.1338765003459195,0.8874627946239539
69,0.259,0.06808324090587256,2.256337515911984,4,0.12328710379984216,0.888473013917438
70,0.255,0.07200540362890785,2.210060739472504,4,0.12782819390577116,0.9033478879636664
71,0.261,0.0637430206798001,2.281004901960784,4,0.13219056968258378,0.8842478807307509
72,0.254,0.07243274392304497,2.231758832565284,5,0.13563535058004622,0.8928812082266635
73,0.261,0.07199707157324217,2.167481417953116,4,0.11990984181911099,0.9232190452059902
74,0.259,0.06178739665281129,2.2204731574158325,3,0.11903818075675979,0.9138696474082504
75,0.25,0.06358733021271075,2.1847437063997575,3,0.1126999511532199,0.9276359596389327
76,0.254,0.06281488323070564,2.2776100774968797,4,0.1368287148500241,0.887094096932638
77,0.261,0.06746862246617771,2.263299498593616,4,0.13806408203942622,0.8863452582080873
78,0.261,0.06874036394473713,2.237593076293322,3,0.1340246586851502,0.8957861728752418
79,0.262,0.07018164372122612,2.1979591836734693,4,0.12772180229077887,0.91163777250697
80,0.261,0.06489329703948774,2.265637962502074,4,0.1333467812114925,0.8891730485607321
81,0.21999999999999997,0.06774748308988679,2.2656956834228215,5,0.13429978454909203,0.88488476598248
82,0.267,0.0632312031414793,2.2807788180933852,4,0.12833777748588351,0.8851094474771202
83,0.261,0.05887056465270111,2.26326645822477,5,0.12037480920345982,0.8992021747794003
84,0.264,0.06082599137014778,2.2225962996663635,4,0.1229772530131483,0.9143445161601345
85,0.264,0.06555664968873377,2.2344484807524427,4,0.1258971284014816,0.901946692340267
86,0.26899999999999996,0.05983530444159291,2.2463224477787587,4,0.11733323544544862,0.9052071434838661
87,0.26899999999999996,0.06090714569976399,2.2525945531796334,4,0.12417102794275542,0.900836884712113
88,0.26,0.07146961198779522,2.1817753001715268,4,0.12019167020238919,0.9172538865698958
89,0.257,0.07173409697319669,2.196476917126683,4,0.1292659791900651,0.9100048968673098
90,0.26,0.06513614248815833,2.196684698435501,3,0.1123913399095412,0.91976373379363
91,0.255,0.06569477196378748,2.225530014978684,4,0.12845655056966937,0.905747191429257
92,0.259,0.06498735934299456,2.2142117403379937,3,0.12067865060380567,0.9119352632590179
93,0.259,0.0701279425432463,2.241138819002516,4,0.1279497299382716,0.892133932753365
94,0.257,0.06253349590706356,2.206035790112223,4,0.1160463419185721,0.9193400237071329
95,0.259,0.07542845556577872,2.1987641807336944,4,0.12546946359956904,0.9034287202415595
96,0.254,0.06328914998444565,2.2805276217839885,4,0.12780181993385675,0.88513079139247
97,0.259,0.07501274510165748,2.176665646362616,3,0.1272598616145669,0.9143654972486729
98,0.26899999999999996,0.059625218493995595,2.319231012458104,5,0.13847433078017507,0.8742547910112042
99,0.256,0.07169076650185627,2.1951331496786044,4,0.13310846228941073,0.9106922740297405
